x (m),y (m),Cluster,Angle_Rad
5.873015873015873e-08,8.412698412698413e-08,1,0.0
5.873015873015873e-08,8.571428571428572e-08,1,0.0
5.873015873015873e-08,8.73015873015873e-08,1,0.0
5.873015873015873e-08,8.888888888888888e-08,4,2.356194490192345
5.873015873015873e-08,9.047619047619047e-08,4,2.356194490192345
5.873015873015873e-08,9.206349206349206e-08,4,2.356194490192345
5.873015873015873e-08,9.365079365079365e-08,4,2.356194490192345
5.873015873015873e-08,9.523809523809524e-08,4,2.356194490192345
5.873015873015873e-08,9.682539682539683e-08,4,2.356194490192345
5.873015873015873e-08,9.84126984126984e-08,4,2.356194490192345
5.873015873015873e-08,1e-07,4,2.356194490192345
6.031746031746031e-08,0.0,-2,
6.031746031746031e-08,1.5873015873015873e-09,2,0.7853981633974483
6.031746031746031e-08,3.1746031746031745e-09,2,0.7853981633974483
6.031746031746031e-08,4.761904761904762e-09,2,0.7853981633974483
6.031746031746031e-08,6.349206349206349e-09,2,0.7853981633974483
6.031746031746031e-08,7.936507936507936e-09,3,1.5707963267948966
6.031746031746031e-08,9.523809523809524e-09,3,1.5707963267948966
6.031746031746031e-08,1.111111111111111e-08,3,1.5707963267948966
6.031746031746031e-08,1.2698412698412698e-08,3,1.5707963267948966
6.031746031746031e-08,1.4285714285714286e-08,3,1.5707963267948966
6.031746031746031e-08,1.5873015873015872e-08,3,1.5707963267948966
6.031746031746031e-08,1.746031746031746e-08,3,1.5707963267948966
6.031746031746031e-08,1.9047619047619048e-08,3,1.5707963267948966
6.031746031746031e-08,2.0634920634920634e-08,3,1.5707963267948966
6.031746031746031e-08,2.222222222222222e-08,3,1.5707963267948966
6.031746031746031e-08,2.380952380952381e-08,3,1.5707963267948966
6.031746031746031e-08,2.5396825396825396e-08,4,2.356194490192345
6.031746031746031e-08,2.6984126984126982e-08,4,2.356194490192345
6.031746031746031e-08,2.8571428571428572e-08,4,2.356194490192345
6.031746031746031e-08,3.0158730158730155e-08,4,2.356194490192345
6.031746031746031e-08,3.1746031746031744e-08,4,2.356194490192345
6.031746031746031e-08,3.3333333333333334e-08,4,2.356194490192345
6.031746031746031e-08,3.492063492063492e-08,4,2.356194490192345
6.031746031746031e-08,3.6507936507936506e-08,4,2.356194490192345
6.031746031746031e-08,3.8095238095238096e-08,4,2.356194490192345
6.031746031746031e-08,3.968253968253968e-08,4,2.356194490192345
6.031746031746031e-08,4.126984126984127e-08,4,2.356194490192345
6.031746031746031e-08,4.285714285714286e-08,4,2.356194490192345
6.031746031746031e-08,4.444444444444444e-08,4,2.356194490192345
6.031746031746031e-08,4.603174603174603e-08,4,2.356194490192345
6.031746031746031e-08,4.761904761904762e-08,4,2.356194490192345
6.031746031746031e-08,4.92063492063492e-08,4,2.356194490192345
6.031746031746031e-08,5.079365079365079e-08,4,2.356194490192345
6.031746031746031e-08,5.238095238095238e-08,4,2.356194490192345
6.031746031746031e-08,5.3968253968253965e-08,4,2.356194490192345
6.031746031746031e-08,5.5555555555555555e-08,4,2.356194490192345
6.031746031746031e-08,5.7142857142857144e-08,4,2.356194490192345
6.031746031746031e-08,5.873015873015873e-08,4,2.356194490192345
6.031746031746031e-08,6.031746031746031e-08,4,2.356194490192345
6.031746031746031e-08,6.19047619047619e-08,4,2.356194490192345
6.031746031746031e-08,6.349206349206349e-08,4,2.356194490192345
6.031746031746031e-08,6.507936507936508e-08,4,2.356194490192345
6.031746031746031e-08,6.666666666666667e-08,4,2.356194490192345
6.031746031746031e-08,6.825396825396826e-08,4,2.356194490192345
6.031746031746031e-08,6.984126984126983e-08,1,0.0
6.031746031746031e-08,7.142857142857142e-08,1,0.0
6.031746031746031e-08,7.301587301587301e-08,1,0.0
6.031746031746031e-08,7.46031746031746e-08,1,0.0
6.031746031746031e-08,7.619047619047619e-08,1,0.0
6.031746031746031e-08,7.777777777777778e-08,1,0.0
6.031746031746031e-08,7.936507936507936e-08,1,0.0
6.031746031746031e-08,8.095238095238095e-08,1,0.0
6.031746031746031e-08,8.253968253968254e-08,1,0.0
6.031746031746031e-08,8.412698412698413e-08,1,0.0
6.031746031746031e-08,8.571428571428572e-08,4,2.356194490192345
6.031746031746031e-08,8.73015873015873e-08,4,2.356194490192345
6.031746031746031e-08,8.888888888888888e-08,4,2.356194490192345
6.031746031746031e-08,9.047619047619047e-08,4,2.356194490192345
6.031746031746031e-08,9.206349206349206e-08,4,2.356194490192345
6.031746031746031e-08,9.365079365079365e-08,4,2.356194490192345
6.031746031746031e-08,9.523809523809524e-08,4,2.356194490192345
6.031746031746031e-08,9.682539682539683e-08,4,2.356194490192345
6.031746031746031e-08,9.84126984126984e-08,4,2.356194490192345
6.031746031746031e-08,1e-07,-2,
6.19047619047619e-08,0.0,-2,
6.19047619047619e-08,1.5873015873015873e-09,2,0.7853981633974483
6.19047619047619e-08,3.1746031746031745e-09,2,0.7853981633974483
6.19047619047619e-08,4.761904761904762e-09,2,0.7853981633974483
6.19047619047619e-08,6.349206349206349e-09,2,0.7853981633974483
6.19047619047619e-08,7.936507936507936e-09,2,0.7853981633974483
6.19047619047619e-08,9.523809523809524e-09,3,1.5707963267948966
6.19047619047619e-08,1.111111111111111e-08,3,1.5707963267948966
6.19047619047619e-08,1.2698412698412698e-08,3,1.5707963267948966
6.19047619047619e-08,1.4285714285714286e-08,3,1.5707963267948966
6.19047619047619e-08,1.5873015873015872e-08,3,1.5707963267948966
6.19047619047619e-08,1.746031746031746e-08,3,1.5707963267948966
6.19047619047619e-08,1.9047619047619048e-08,3,1.5707963267948966
6.19047619047619e-08,2.0634920634920634e-08,2,0.7853981633974483
6.19047619047619e-08,2.222222222222222e-08,2,0.7853981633974483
6.19047619047619e-08,2.380952380952381e-08,2,0.7853981633974483
6.19047619047619e-08,2.5396825396825396e-08,2,0.7853981633974483
6.19047619047619e-08,2.6984126984126982e-08,4,2.356194490192345
6.19047619047619e-08,2.8571428571428572e-08,4,2.356194490192345
6.19047619047619e-08,3.0158730158730155e-08,4,2.356194490192345
6.19047619047619e-08,3.1746031746031744e-08,4,2.356194490192345
6.19047619047619e-08,3.3333333333333334e-08,4,2.356194490192345
6.19047619047619e-08,3.492063492063492e-08,4,2.356194490192345
6.19047619047619e-08,3.6507936507936506e-08,4,2.356194490192345
6.19047619047619e-08,3.8095238095238096e-08,4,2.356194490192345
6.19047619047619e-08,3.968253968253968e-08,4,2.356194490192345
6.19047619047619e-08,4.126984126984127e-08,4,2.356194490192345
6.19047619047619e-08,4.285714285714286e-08,4,2.356194490192345
6.19047619047619e-08,4.444444444444444e-08,4,2.356194490192345
6.19047619047619e-08,4.603174603174603e-08,4,2.356194490192345
6.19047619047619e-08,4.761904761904762e-08,4,2.356194490192345
6.19047619047619e-08,4.92063492063492e-08,4,2.356194490192345
6.19047619047619e-08,5.079365079365079e-08,4,2.356194490192345
6.19047619047619e-08,5.238095238095238e-08,4,2.356194490192345
6.19047619047619e-08,5.3968253968253965e-08,4,2.356194490192345
6.19047619047619e-08,5.5555555555555555e-08,4,2.356194490192345
6.19047619047619e-08,5.7142857142857144e-08,4,2.356194490192345
6.19047619047619e-08,5.873015873015873e-08,4,2.356194490192345
6.19047619047619e-08,6.031746031746031e-08,4,2.356194490192345
6.19047619047619e-08,6.19047619047619e-08,4,2.356194490192345
6.19047619047619e-08,6.349206349206349e-08,4,2.356194490192345
6.19047619047619e-08,6.507936507936508e-08,4,2.356194490192345
6.19047619047619e-08,6.666666666666667e-08,4,2.356194490192345
6.19047619047619e-08,6.825396825396826e-08,4,2.356194490192345
6.19047619047619e-08,6.984126984126983e-08,1,0.0
6.19047619047619e-08,7.142857142857142e-08,1,0.0
6.19047619047619e-08,7.301587301587301e-08,1,0.0
6.19047619047619e-08,7.46031746031746e-08,1,0.0
6.19047619047619e-08,7.619047619047619e-08,1,0.0
6.19047619047619e-08,7.777777777777778e-08,1,0.0
6.19047619047619e-08,7.936507936507936e-08,1,0.0
6.19047619047619e-08,8.095238095238095e-08,1,0.0
6.19047619047619e-08,8.253968253968254e-08,1,0.0
6.19047619047619e-08,8.412698412698413e-08,4,2.356194490192345
6.19047619047619e-08,8.571428571428572e-08,4,2.356194490192345
6.19047619047619e-08,8.73015873015873e-08,4,2.356194490192345
6.19047619047619e-08,8.888888888888888e-08,4,2.356194490192345
6.19047619047619e-08,9.047619047619047e-08,4,2.356194490192345
6.19047619047619e-08,9.206349206349206e-08,4,2.356194490192345
6.19047619047619e-08,9.365079365079365e-08,4,2.356194490192345
6.19047619047619e-08,9.523809523809524e-08,4,2.356194490192345
6.19047619047619e-08,9.682539682539683e-08,4,2.356194490192345
6.19047619047619e-08,9.84126984126984e-08,4,2.356194490192345
6.19047619047619e-08,1e-07,-2,
6.349206349206349e-08,0.0,-2,
6.349206349206349e-08,1.5873015873015873e-09,2,0.7853981633974483
6.349206349206349e-08,3.1746031746031745e-09,2,0.7853981633974483
6.349206349206349e-08,4.761904761904762e-09,2,0.7853981633974483
6.349206349206349e-08,6.349206349206349e-09,2,0.7853981633974483
6.349206349206349e-08,7.936507936507936e-09,2,0.7853981633974483
6.349206349206349e-08,9.523809523809524e-09,2,0.7853981633974483
6.349206349206349e-08,1.111111111111111e-08,2,0.7853981633974483
6.349206349206349e-08,1.2698412698412698e-08,2,0.7853981633974483
6.349206349206349e-08,1.4285714285714286e-08,2,0.7853981633974483
6.349206349206349e-08,1.5873015873015872e-08,2,0.7853981633974483
6.349206349206349e-08,1.746031746031746e-08,2,0.7853981633974483
6.349206349206349e-08,1.9047619047619048e-08,2,0.7853981633974483
6.349206349206349e-08,2.0634920634920634e-08,2,0.7853981633974483
6.349206349206349e-08,2.222222222222222e-08,2,0.7853981633974483
6.349206349206349e-08,2.380952380952381e-08,2,0.7853981633974483
6.349206349206349e-08,2.5396825396825396e-08,2,0.7853981633974483
6.349206349206349e-08,2.6984126984126982e-08,2,0.7853981633974483
6.349206349206349e-08,2.8571428571428572e-08,2,0.7853981633974483
6.349206349206349e-08,3.0158730158730155e-08,4,2.356194490192345
6.349206349206349e-08,3.1746031746031744e-08,4,2.356194490192345
6.349206349206349e-08,3.3333333333333334e-08,4,2.356194490192345
6.349206349206349e-08,3.492063492063492e-08,4,2.356194490192345
6.349206349206349e-08,3.6507936507936506e-08,4,2.356194490192345
6.349206349206349e-08,3.8095238095238096e-08,4,2.356194490192345
6.349206349206349e-08,3.968253968253968e-08,4,2.356194490192345
6.349206349206349e-08,4.126984126984127e-08,4,2.356194490192345
6.349206349206349e-08,4.285714285714286e-08,4,2.356194490192345
6.349206349206349e-08,4.444444444444444e-08,4,2.356194490192345
6.349206349206349e-08,4.603174603174603e-08,4,2.356194490192345
6.349206349206349e-08,4.761904761904762e-08,4,2.356194490192345
6.349206349206349e-08,4.92063492063492e-08,4,2.356194490192345
6.349206349206349e-08,5.079365079365079e-08,4,2.356194490192345
6.349206349206349e-08,5.238095238095238e-08,4,2.356194490192345
6.349206349206349e-08,5.3968253968253965e-08,4,2.356194490192345
6.349206349206349e-08,5.5555555555555555e-08,4,2.356194490192345
6.349206349206349e-08,5.7142857142857144e-08,4,2.356194490192345
6.349206349206349e-08,5.873015873015873e-08,4,2.356194490192345
6.349206349206349e-08,6.031746031746031e-08,4,2.356194490192345
6.349206349206349e-08,6.19047619047619e-08,4,2.356194490192345
6.349206349206349e-08,6.349206349206349e-08,4,2.356194490192345
6.349206349206349e-08,6.507936507936508e-08,4,2.356194490192345
6.349206349206349e-08,6.666666666666667e-08,4,2.356194490192345
6.349206349206349e-08,6.825396825396826e-08,4,2.356194490192345
6.349206349206349e-08,6.984126984126983e-08,1,0.0
6.349206349206349e-08,7.142857142857142e-08,1,0.0
6.349206349206349e-08,7.301587301587301e-08,1,0.0
6.349206349206349e-08,7.46031746031746e-08,1,0.0
6.349206349206349e-08,7.619047619047619e-08,1,0.0
6.349206349206349e-08,7.777777777777778e-08,1,0.0
6.349206349206349e-08,7.936507936507936e-08,1,0.0
6.349206349206349e-08,8.095238095238095e-08,1,0.0
6.349206349206349e-08,8.253968253968254e-08,4,2.356194490192345
6.349206349206349e-08,8.412698412698413e-08,4,2.356194490192345
6.349206349206349e-08,8.571428571428572e-08,4,2.356194490192345
6.349206349206349e-08,8.73015873015873e-08,4,2.356194490192345
6.349206349206349e-08,8.888888888888888e-08,4,2.356194490192345
6.349206349206349e-08,9.047619047619047e-08,4,2.356194490192345
6.349206349206349e-08,9.206349206349206e-08,4,2.356194490192345
6.349206349206349e-08,9.365079365079365e-08,4,2.356194490192345
6.349206349206349e-08,9.523809523809524e-08,4,2.356194490192345
6.349206349206349e-08,9.682539682539683e-08,4,2.356194490192345
6.349206349206349e-08,9.84126984126984e-08,4,2.356194490192345
6.349206349206349e-08,1e-07,-2,
6.507936507936508e-08,0.0,-2,
6.507936507936508e-08,1.5873015873015873e-09,2,0.7853981633974483
6.507936507936508e-08,3.1746031746031745e-09,2,0.7853981633974483
6.507936507936508e-08,4.761904761904762e-09,2,0.7853981633974483
6.507936507936508e-08,6.349206349206349e-09,2,0.7853981633974483
6.507936507936508e-08,7.936507936507936e-09,2,0.7853981633974483
6.507936507936508e-08,9.523809523809524e-09,2,0.7853981633974483
6.507936507936508e-08,1.111111111111111e-08,2,0.7853981633974483
6.507936507936508e-08,1.2698412698412698e-08,2,0.7853981633974483
6.507936507936508e-08,1.4285714285714286e-08,2,0.7853981633974483
6.507936507936508e-08,1.5873015873015872e-08,2,0.7853981633974483
6.507936507936508e-08,1.746031746031746e-08,2,0.7853981633974483
6.507936507936508e-08,1.9047619047619048e-08,2,0.7853981633974483
6.507936507936508e-08,2.0634920634920634e-08,2,0.7853981633974483
6.507936507936508e-08,2.222222222222222e-08,2,0.7853981633974483
6.507936507936508e-08,2.380952380952381e-08,2,0.7853981633974483
6.507936507936508e-08,2.5396825396825396e-08,2,0.7853981633974483
6.507936507936508e-08,2.6984126984126982e-08,2,0.7853981633974483
6.507936507936508e-08,2.8571428571428572e-08,2,0.7853981633974483
6.507936507936508e-08,3.0158730158730155e-08,2,0.7853981633974483
6.507936507936508e-08,3.1746031746031744e-08,2,0.7853981633974483
6.507936507936508e-08,3.3333333333333334e-08,4,2.356194490192345
6.507936507936508e-08,3.492063492063492e-08,4,2.356194490192345
6.507936507936508e-08,3.6507936507936506e-08,4,2.356194490192345
6.507936507936508e-08,3.8095238095238096e-08,4,2.356194490192345
6.507936507936508e-08,3.968253968253968e-08,4,2.356194490192345
6.507936507936508e-08,4.126984126984127e-08,4,2.356194490192345
6.507936507936508e-08,4.285714285714286e-08,4,2.356194490192345
6.507936507936508e-08,4.444444444444444e-08,4,2.356194490192345
6.507936507936508e-08,4.603174603174603e-08,4,2.356194490192345
6.507936507936508e-08,4.761904761904762e-08,4,2.356194490192345
6.507936507936508e-08,4.92063492063492e-08,4,2.356194490192345
6.507936507936508e-08,5.079365079365079e-08,4,2.356194490192345
6.507936507936508e-08,5.238095238095238e-08,4,2.356194490192345
6.507936507936508e-08,5.3968253968253965e-08,4,2.356194490192345
6.507936507936508e-08,5.5555555555555555e-08,4,2.356194490192345
6.507936507936508e-08,5.7142857142857144e-08,4,2.356194490192345
6.507936507936508e-08,5.873015873015873e-08,4,2.356194490192345
6.507936507936508e-08,6.031746031746031e-08,4,2.356194490192345
6.507936507936508e-08,6.19047619047619e-08,4,2.356194490192345
6.507936507936508e-08,6.349206349206349e-08,4,2.356194490192345
6.507936507936508e-08,6.507936507936508e-08,4,2.356194490192345
6.507936507936508e-08,6.666666666666667e-08,4,2.356194490192345
6.507936507936508e-08,6.825396825396826e-08,4,2.356194490192345
6.507936507936508e-08,6.984126984126983e-08,1,0.0
6.507936507936508e-08,7.142857142857142e-08,1,0.0
6.507936507936508e-08,7.301587301587301e-08,1,0.0
6.507936507936508e-08,7.46031746031746e-08,1,0.0
6.507936507936508e-08,7.619047619047619e-08,1,0.0
6.507936507936508e-08,7.777777777777778e-08,1,0.0
6.507936507936508e-08,7.936507936507936e-08,4,2.356194490192345
6.507936507936508e-08,8.095238095238095e-08,4,2.356194490192345
6.507936507936508e-08,8.253968253968254e-08,4,2.356194490192345
6.507936507936508e-08,8.412698412698413e-08,4,2.356194490192345
6.507936507936508e-08,8.571428571428572e-08,4,2.356194490192345
6.507936507936508e-08,8.73015873015873e-08,4,2.356194490192345
6.507936507936508e-08,8.888888888888888e-08,4,2.356194490192345
6.507936507936508e-08,9.047619047619047e-08,4,2.356194490192345
6.507936507936508e-08,9.206349206349206e-08,4,2.356194490192345
6.507936507936508e-08,9.365079365079365e-08,4,2.356194490192345
6.507936507936508e-08,9.523809523809524e-08,4,2.356194490192345
6.507936507936508e-08,9.682539682539683e-08,4,2.356194490192345
6.507936507936508e-08,9.84126984126984e-08,4,2.356194490192345
6.507936507936508e-08,1e-07,-2,
6.666666666666667e-08,0.0,-2,
6.666666666666667e-08,1.5873015873015873e-09,-2,
6.666666666666667e-08,3.1746031746031745e-09,2,0.7853981633974483
6.666666666666667e-08,4.761904761904762e-09,2,0.7853981633974483
6.666666666666667e-08,6.349206349206349e-09,2,0.7853981633974483
6.666666666666667e-08,7.936507936507936e-09,2,0.7853981633974483
6.666666666666667e-08,9.523809523809524e-09,2,0.7853981633974483
6.666666666666667e-08,1.111111111111111e-08,2,0.7853981633974483
6.666666666666667e-08,1.2698412698412698e-08,2,0.7853981633974483
6.666666666666667e-08,1.4285714285714286e-08,2,0.7853981633974483
6.666666666666667e-08,1.5873015873015872e-08,2,0.7853981633974483
6.666666666666667e-08,1.746031746031746e-08,2,0.7853981633974483
6.666666666666667e-08,1.9047619047619048e-08,2,0.7853981633974483
6.666666666666667e-08,2.0634920634920634e-08,2,0.7853981633974483
6.666666666666667e-08,2.222222222222222e-08,2,0.7853981633974483
6.666666666666667e-08,2.380952380952381e-08,2,0.7853981633974483
6.666666666666667e-08,2.5396825396825396e-08,2,0.7853981633974483
6.666666666666667e-08,2.6984126984126982e-08,2,0.7853981633974483
6.666666666666667e-08,2.8571428571428572e-08,2,0.7853981633974483
6.666666666666667e-08,3.0158730158730155e-08,2,0.7853981633974483
6.666666666666667e-08,3.1746031746031744e-08,2,0.7853981633974483
6.666666666666667e-08,3.3333333333333334e-08,2,0.7853981633974483
6.666666666666667e-08,3.492063492063492e-08,4,2.356194490192345
6.666666666666667e-08,3.6507936507936506e-08,4,2.356194490192345
6.666666666666667e-08,3.8095238095238096e-08,4,2.356194490192345
6.666666666666667e-08,3.968253968253968e-08,4,2.356194490192345
6.666666666666667e-08,4.126984126984127e-08,4,2.356194490192345
6.666666666666667e-08,4.285714285714286e-08,4,2.356194490192345
6.666666666666667e-08,4.444444444444444e-08,4,2.356194490192345
6.666666666666667e-08,4.603174603174603e-08,4,2.356194490192345
6.666666666666667e-08,4.761904761904762e-08,4,2.356194490192345
6.666666666666667e-08,4.92063492063492e-08,4,2.356194490192345
